ligand,label,type,color,wd_S1,rcmin_S1,rcrange_S1,nstates_S1,system.x,wd_S2,rcmin_S2,rcrange_S2,nstates_S2,system.y,wd_ratio,delta_wd,trap_potency,shape
APO,APO,APO,grey40,42.4985895882366,23.5,3.00000000000004,4,S1,44.0222069681795,22.4,2.20000000000003,7,S2,0.965389800174167,-1.52361737994288,NA,17
AZD5305,AZD5305,Unknown,darkorange,28.1879423334875,22.8,3.00000000000004,5,S1,50.3476664621762,22.4,1.70000000000002,6,S2,0.55986591463308,-22.1597241286886,NA,15
olaparib,Olaparib,Type II,#E41A1C,68.8807354510918,23.3,3.20000000000005,8,S1,47.541343,23.5,1.9,3,S2,1.44885968936746,21.3393924510918,1,16
talazoparib,Talazoparib,Type II,#FF7F00,30.4094036139146,23.7,3.80000000000005,1,S1,61.9469971756015,22.8,2.20000000000003,6,S2,0.490893909315941,-31.5375935616869,100,16
veliparib,Veliparib,Type III,#377EB8,101.051517562577,22.4,3.50000000000005,9,S1,72.9489662916288,23.5,2.20000000000004,5,S2,1.38523577097175,28.1025512709479,0.1,17
niraparib,Niraparib,Type III,#4DAF4A,51.6115176640968,25.1,2.50000000000004,7,S1,39.934438,23.4,1.7,3,S2,1.29240626008301,11.6770796640968,>1 (rank-only),17
rucaparib,Rucaparib,Type III,#984EA3,53.410090564278,22.2,2.70000000000004,7,S1,40.220361,23.5,2,3,S2,1.32793662802475,13.189729564278,1.0,17
fluzoparib,Fluzoparib,Extension,#C23531,53.9990257760058,25.2,3.50000000000005,11,S1,46.8631690530041,23.5,2.00000000000003,6,S2,1.15227004206503,7.13585672300164,NA,18
pamiparib,Pamiparib,Extension,#3D6BA8,48.6948675343395,23.4,2.70000000000004,9,S1,51.7714468392947,23.4,2.00000000000003,4,S2,0.940573820266116,-3.07657930495517,NA,15
senaparib,Senaparib,Extension,#9D2933,52.1879913492686,24.9,2.70000000000004,8,S1,49.4431266925812,24.4,1.70000000000002,4,S2,1.05551559620721,2.74486465668731,NA,8
