system,ligand,type,cumulant,n_frames,cv_mean,cv_range,pmf_min_kcal,pmf_min_position,well_depth,n_states
sys1,APO,APO,c1,21500,23.20,22.29-26.52,-10.40,23.2,30.84,4
sys1,APO,APO,c2,21500,23.49,22.29-26.52,-21.92,23.5,35.13,5
sys1,APO,APO,c3,21500,23.49,22.29-26.52,-23.78,23.5,42.50,4
sys1,AZD5305,unknown,c1,25000,22.70,21.00-25.87,-7.00,22.7,26.83,5
sys1,AZD5305,unknown,c2,25000,22.77,21.00-25.87,-14.86,22.8,27.26,5
sys1,AZD5305,unknown,c3,25000,22.77,21.00-25.87,-17.78,22.8,28.19,5
sys1,niraparib,Type_III,c1,31200,24.20,23.04-25.45,-4.94,24.2,35.90,1
sys1,niraparib,Type_III,c2,31200,24.00,23.04-25.45,-14.27,24.0,41.45,4
sys1,niraparib,Type_III,c3,31200,24.20,23.04-25.45,-27.20,25.1,51.61,7
sys1,olaparib,Type_II,c1,18966,24.29,23.00-26.09,-4.50,24.2,39.66,5
sys1,olaparib,Type_II,c2,18966,24.18,23.00-26.09,-22.05,23.3,59.63,9
sys1,olaparib,Type_II,c3,18966,24.18,23.00-26.09,-24.61,23.3,68.88,8
sys1,rucaparib,Type_III,c1,31200,24.20,23.00-25.50,-4.93,23.2,40.04,3
sys1,rucaparib,Type_III,c2,31200,24.07,23.00-25.50,-17.29,24.0,51.55,7
sys1,rucaparib,Type_III,c3,31200,24.07,23.00-25.50,-22.52,22.2,53.41,7
sys1,veliparib,Type_III,c1,30847,23.98,22.22-26.04,-4.24,23.1,38.69,6
sys1,veliparib,Type_III,c2,30847,24.02,22.22-26.04,-23.50,22.4,54.13,9
sys1,veliparib,Type_III,c3,30847,24.02,22.22-26.04,-23.95,22.4,101.05,9
