system,cv,n_points,rc_min,rc_max,well_depth,min_at_rc,max_at_rc
APO,CV1,51,59.8,64.8,29.8022,61.9,59.8
AZD5305,CV1,52,60.7,65.8,27.6792,64.0,60.7
fluzoparib,CV1,45,61.8,66.2,27.663,63.7,61.8
niraparib,CV1,50,61.4,66.3,29.8652,64.0,61.4
olaparib,CV1,52,62.0,67.1,30.0077,64.8,62.0
pamiparib,CV1,40,60.7,64.6,27.6793,62.7,60.7
rucaparib,CV1,46,61.4,65.9,29.962,63.8,61.4
senaparib,CV1,37,63.4,67.0,27.5775,65.7,63.4
talazoparib,CV1,67,60.1,66.7,29.7441,63.5,60.1
veliparib,CV1,47,62.3,66.9,27.4965,65.5,62.3
APO,CV2,23,21.6,23.8,30.5166,22.8,21.6
AZD5305,CV2,18,22.0,23.7,28.3611,22.9,22.0
fluzoparib,CV2,21,22.7,24.7,28.1419,23.9,22.7
niraparib,CV2,20,22.0,23.9,30.6453,22.9,22.0
olaparib,CV2,21,21.7,23.7,30.4102,22.6,21.7
pamiparib,CV2,21,22.4,24.4,28.0046,23.2,22.4
rucaparib,CV2,23,21.8,24.0,30.4884,22.8,21.8
senaparib,CV2,18,23.1,24.8,28.0118,24.1,23.1
talazoparib,CV2,23,21.3,23.5,30.6134,22.2,21.3
veliparib,CV2,23,21.9,24.1,28.1039,22.7,21.9
