ligand,time_ns,well_depth
fluzoparib,20,81.84369340334251
fluzoparib,40,68.60574950105202
fluzoparib,60,61.274230111981
fluzoparib,80,55.03460233144067
fluzoparib,100,53.83311621626048
fluzoparib,120,53.999025776005766
fluzoparib,140,53.999025776005766
fluzoparib,160,53.999025776005766
fluzoparib,180,53.999025776005766
fluzoparib,200,53.999025776005766
pamiparib,20,53.659366154788884
pamiparib,40,46.3755904347272
pamiparib,60,91.69260092919
pamiparib,80,85.07197587391754
pamiparib,100,72.99386435836026
pamiparib,120,55.23201725346946
pamiparib,140,50.67328984896834
pamiparib,160,49.47121300352309
pamiparib,180,49.47121300352309
pamiparib,200,48.694867534339494
senaparib,20,42.00204817694098
senaparib,40,44.168759281723375
senaparib,60,43.09111723755886
senaparib,80,41.485180623716694
senaparib,100,42.54144990309943
senaparib,120,43.25522940772283
senaparib,140,47.88329591711893
senaparib,160,47.71647265687247
senaparib,180,46.49294938896183
senaparib,200,52.18799134926856
