"PC1","PC2","PC3","System","Type"
143.277127892,-41.9046942185478,-33.5529380777947,"APO","APO"
145.715334479202,-35.2531502669955,-31.7917418054627,"APO","APO"
142.328680696524,-50.1925007061986,-14.7608970427377,"APO","APO"
128.76353978769,-57.9785778697669,-25.7739185380299,"APO","APO"
140.596827167747,-65.0832751268365,-23.0184771099558,"APO","APO"
144.817566773812,-68.5221520527779,-31.0508163773034,"APO","APO"
140.9224791448,-60.9871339463798,-49.9983021673157,"APO","APO"
132.862222157433,-65.0148868213292,-58.2339642137033,"APO","APO"
119.268337740198,-76.3502347137655,-84.1709847763725,"APO","APO"
119.033386328312,-67.4400388054427,-71.2338616775989,"APO","APO"
120.15350867044,-55.5996307203563,-83.8157551632602,"APO","APO"
133.423018574481,-73.6995090560873,-99.4150755299718,"APO","APO"
130.506644416442,-80.0014755860737,-90.2779485569478,"APO","APO"
120.786725645123,-96.3476785640063,-90.3619076249654,"APO","APO"
107.790161496387,-92.4211708603813,-104.124314932239,"APO","APO"
123.185942582082,-96.6140886444673,-105.570742278717,"APO","APO"
103.577308439802,-105.235821466759,-119.19859471946,"APO","APO"
127.319597023683,-100.436344783292,-107.632189982412,"APO","APO"
122.634591855406,-117.420826873368,-93.9691215577391,"APO","APO"
123.477132485113,-120.274651204503,-89.1737442601313,"APO","APO"
114.527022401508,-118.089512547658,-99.1771531311687,"APO","APO"
88.8760934131248,-119.380267830606,-65.8350768774537,"APO","APO"
94.2045557977352,-114.739378929009,-55.3519494464569,"APO","APO"
92.5403915216871,-130.765077677563,-66.2057036304218,"APO","APO"
92.0508698816148,-120.939829037604,-52.7609689201957,"APO","APO"
116.584180452197,-129.442883816315,-68.3960353797961,"APO","APO"
105.306896252272,-138.784752633712,-66.3044991257814,"APO","APO"
73.3985686836477,-114.765460741593,-70.8862438653892,"APO","APO"
55.0526077437079,-116.836114805327,-80.685892590158,"APO","APO"
62.1216037108077,-122.090835523648,-97.8721498967602,"APO","APO"
65.78951633858,-111.447727740093,-95.2622935210241,"APO","APO"
67.0967764375227,-129.585367288202,-65.019766812171,"APO","APO"
84.454323736146,-111.063371902348,-76.7484099239576,"APO","APO"
89.3033750268466,-117.795203136696,-71.3521550540408,"APO","APO"
76.1826330226219,-123.552308349865,-51.3613288600861,"APO","APO"
50.0427353204195,-116.498551451821,-42.7543239195585,"APO","APO"
36.7146133089347,-125.541631737782,-39.1502186079602,"APO","APO"
41.75495389578,-119.638045814845,-38.8087729519219,"APO","APO"
39.6430267686152,-106.420880392366,-42.3336677332998,"APO","APO"
19.760023613637,-112.2398659667,-40.761670864997,"APO","APO"
32.949257102355,-104.034895910958,-35.6694269258039,"APO","APO"
48.0718307205677,-97.4442789844971,-23.2946447154491,"APO","APO"
42.957487800122,-96.5723006211786,-37.2016075811704,"APO","APO"
47.4397754166113,-87.9864636389327,-43.5139479322505,"APO","APO"
25.6927899708227,-76.0454308985568,-52.2903590410857,"APO","APO"
27.2256601795709,-77.983683884191,-53.3262264389894,"APO","APO"
22.1583749461921,-87.5160244782084,-56.470445295921,"APO","APO"
10.4296300372355,-108.592563309112,-74.4507817727636,"APO","APO"
15.7019870905339,-98.566591269745,-69.7394887602091,"APO","APO"
1.89368227495689,-104.512971492364,-65.8986733431751,"APO","APO"
-1.10730884103371,-107.015135547687,-45.3909084852809,"APO","APO"
5.66467191695673,-103.631203716705,-28.3525250658649,"APO","APO"
4.2984774756486,-93.5707390438847,-34.1990758060004,"APO","APO"
0.462901103667984,-98.7261811691034,-59.687586070933,"APO","APO"
-22.4318252537972,-119.616744026211,-52.141146553441,"APO","APO"
