inhibitor,replicate,ns,well_depth
Talazoparib,rep_tala_3,4,24.04
Talazoparib,rep_tala_3,8,24.10
Talazoparib,rep_tala_3,13,24.00
Talazoparib,rep_tala_3,17,6.51
Talazoparib,rep_tala_3,21,6.72
Talazoparib,rep_tala_3,25,6.91
Talazoparib,rep_tala_3,30,7.08
Talazoparib,rep_tala_3,34,7.22
Talazoparib,rep_tala_3,38,7.31
Talazoparib,rep_tala_3,42,7.43
Talazoparib,rep_tala_2,4,24.24
Talazoparib,rep_tala_2,8,5.68
Talazoparib,rep_tala_2,13,6.15
Talazoparib,rep_tala_2,17,24.14
Talazoparib,rep_tala_2,21,24.10
Talazoparib,rep_tala_2,25,23.95
Talazoparib,rep_tala_2,29,23.83
Talazoparib,rep_tala_2,34,23.73
Talazoparib,rep_tala_2,38,23.69
Talazoparib,rep_tala_2,42,7.43
Talazoparib,rep_tala_1,4,24.06
Talazoparib,rep_tala_1,8,23.84
Talazoparib,rep_tala_1,13,6.05
Talazoparib,rep_tala_1,17,5.73
Talazoparib,rep_tala_1,21,5.91
Talazoparib,rep_tala_1,25,6.02
Talazoparib,rep_tala_1,30,6.23
Talazoparib,rep_tala_1,34,6.43
Talazoparib,rep_tala_1,38,6.57
Talazoparib,rep_tala_1,42,6.68
Veliparib,rep_veli_2,4,4.77
Veliparib,rep_veli_2,8,23.83
Veliparib,rep_veli_2,13,23.93
Veliparib,rep_veli_2,17,23.97
Veliparib,rep_veli_2,21,24.04
Veliparib,rep_veli_2,25,24.03
Veliparib,rep_veli_2,30,7.09
Veliparib,rep_veli_2,34,7.18
Veliparib,rep_veli_2,38,7.29
Veliparib,rep_veli_2,42,7.34
Veliparib,rep_veli_1,4,24.26
Veliparib,rep_veli_1,8,24.04
Veliparib,rep_veli_1,13,23.98
Veliparib,rep_veli_1,17,24.01
Veliparib,rep_veli_1,21,24.00
Veliparib,rep_veli_1,25,23.98
Veliparib,rep_veli_1,30,23.98
Veliparib,rep_veli_1,34,23.94
Veliparib,rep_veli_1,38,23.95
Veliparib,rep_veli_1,42,7.37
AZD5305,rep_azd_1,4,24.15
AZD5305,rep_azd_1,8,24.00
AZD5305,rep_azd_1,13,6.13
AZD5305,rep_azd_1,17,6.42
AZD5305,rep_azd_1,21,23.80
AZD5305,rep_azd_1,25,23.83
AZD5305,rep_azd_1,30,23.82
AZD5305,rep_azd_1,34,6.10
AZD5305,rep_azd_1,38,6.24
AZD5305,rep_azd_1,42,6.38
AZD5305,rep_azd_2,4,24.00
AZD5305,rep_azd_2,8,4.73
AZD5305,rep_azd_2,13,5.28
AZD5305,rep_azd_2,17,5.69
AZD5305,rep_azd_2,21,5.93
AZD5305,rep_azd_2,25,6.11
AZD5305,rep_azd_2,29,6.98
AZD5305,rep_azd_2,34,6.41
AZD5305,rep_azd_2,38,6.57
AZD5305,rep_azd_2,42,6.66
EB-47,rep_eb47_6vkk,0,23.05
EB-47,rep_eb47_6vkk,0,22.99
EB-47,rep_eb47_6vkk,1,22.71
EB-47,rep_eb47_6vkk,1,22.80
EB-47,rep_eb47_6vkk,1,22.79
EB-47,rep_eb47_6vkk,1,22.67
EB-47,rep_eb47_6vkk,1,22.52
EB-47,rep_eb47_6vkk,2,22.38
EB-47,rep_eb47_6vkk,2,22.27
EB-47,rep_eb47_6vkk,2,22.16
