"property","pmf_feature","rho","p_value"
"MW","S2_mean_RMSF",0.885714285714286,0.0333333333333333
"n_heavy","S2_mean_RMSF",0.84066800169605,0.0360575728451593
"trapping_potency","S2_well_depth",0.828571428571429,0.0583333333333333
"log10_trapping","S2_well_depth",0.828571428571429,0.0583333333333333
"logP","S2_well_depth",0.771428571428571,0.102777777777778
"TPSA","S2_mean_RMSF",0.771428571428571,0.102777777777778
"n_HBA","S2_mean_RMSF",0.753702346348183,0.0835232813732598
"trapping_potency","S1_min_position",0.714285714285714,0.136111111111111
"log10_trapping","S1_min_position",0.714285714285714,0.136111111111111
"TPSA","s2_pca_variance",0.714285714285714,0.136111111111111
"n_HBD","S1_min_position",-0.678934739833205,0.138076182668894
"n_HBA","S1_well_depth",-0.637748139217693,0.17307111024126
"n_HBA","S1_barrier",-0.637748139217693,0.17307111024126
"n_HBA","s2_pca_variance",0.637748139217693,0.17307111024126
"n_rotatable","S2_mean_RMSF",0.617914380653325,0.191093901690193
"n_HBA","S1_S2_ratio",-0.579771035652448,0.227783956715016
"TPSA","S1_well_depth",-0.542857142857143,0.297222222222222
"TPSA","S1_barrier",-0.542857142857143,0.297222222222222
"n_rings","S1_min_position",0.493770719878694,0.319536922224314
"n_HBD","S2_mean_RMSF",-0.493770719878694,0.319536922224314
"n_rings","S2_mean_RMSF",0.493770719878694,0.319536922224314
"TPSA","S1_S2_ratio",-0.485714285714286,0.355555555555556
"n_rings","S2_well_depth",0.462910049886276,0.355232430515545
"n_rings","S1_S2_ratio",-0.462910049886276,0.355232430515545
"logP","S1_S2_ratio",-0.428571428571429,0.419444444444444
"TPSA","hd_art_corr",0.428571428571429,0.419444444444444
"trapping_potency","s2_pca_variance",-0.428571428571429,0.419444444444444
"log10_trapping","s2_pca_variance",-0.428571428571429,0.419444444444444
"n_heavy","S1_well_depth",-0.405839724956714,0.424662507561365
"n_heavy","S1_barrier",-0.405839724956714,0.424662507561365
"n_HBA","hd_art_corr",0.405839724956714,0.424662507561365
"n_HBA","S1_min_position",0.376851173174092,0.461482840350805
"MW","S1_well_depth",-0.371428571428571,0.497222222222222
"trapping_potency","S1_S2_ratio",-0.371428571428571,0.497222222222222
"log10_trapping","S1_S2_ratio",-0.371428571428571,0.497222222222222
"MW","S1_barrier",-0.371428571428571,0.497222222222222
"n_rotatable","S1_well_depth",-0.3530939318019,0.492370152591295
"n_rotatable","S1_barrier",-0.3530939318019,0.492370152591295
"n_heavy","S1_S2_ratio",-0.347862621391469,0.499253218114633
"TPSA","S2_well_depth",-0.314285714285714,0.563888888888889
"MW","S1_S2_ratio",-0.314285714285714,0.563888888888889
"trapping_potency","S2_mean_RMSF",-0.314285714285714,0.563888888888889
"log10_trapping","S2_mean_RMSF",-0.314285714285714,0.563888888888889
"n_rings","S1_well_depth",-0.308606699924184,0.551785507252971
"n_rings","S1_barrier",-0.308606699924184,0.551785507252971
"n_HBD","hd_art_corr",0.308606699924184,0.551785507252971
"n_heavy","S1_min_position",0.289885517826224,0.577351787034875
"n_HBD","S1_well_depth",0.277746029931766,0.594094016256863
"n_HBD","S1_S2_ratio",0.277746029931766,0.594094016256863
"n_HBD","S1_barrier",0.277746029931766,0.594094016256863
"logP","S1_well_depth",-0.257142857142857,0.658333333333333
"TPSA","S1_min_position",0.257142857142857,0.658333333333333
"logP","S1_barrier",-0.257142857142857,0.658333333333333
"logP","hd_art_corr",0.257142857142857,0.658333333333333
"logP","s2_pca_variance",-0.257142857142857,0.658333333333333
"n_HBD","S2_well_depth",-0.246885359939347,0.637196085346274
"n_rotatable","hd_art_corr",-0.2353959545346,0.653427860877847
"MW","s2_pca_variance",0.2,0.713888888888889
"n_HBD","s2_pca_variance",0.18516401995451,0.725428210410312
"n_HBA","S2_well_depth",-0.173931310695735,0.741733927731628
"n_rotatable","S2_well_depth",-0.147122471584125,0.780908527164766
"n_heavy","s2_pca_variance",0.144942758913112,0.784108369602108
"MW","S1_min_position",0.142857142857143,0.802777777777778
"logP","S2_mean_RMSF",-0.142857142857143,0.802777777777778
"n_rotatable","S1_S2_ratio",-0.088273482950475,0.867933698235134
"trapping_potency","S1_well_depth",-0.0857142857142857,0.919444444444444
"log10_trapping","S1_well_depth",-0.0857142857142857,0.919444444444444
"logP","S1_min_position",0.0857142857142857,0.919444444444444
"trapping_potency","S1_barrier",-0.0857142857142857,0.919444444444444
"log10_trapping","S1_barrier",-0.0857142857142857,0.919444444444444
"n_rings","hd_art_corr",0.0617213399848368,0.907535554479859
"n_rings","s2_pca_variance",-0.0617213399848368,0.907535554479859
"n_rotatable","S1_min_position",-0.029424494316825,0.95587599640109
"n_heavy","S2_well_depth",0.0289885517826224,0.95652935238984
"n_heavy","hd_art_corr",-0.0289885517826224,0.95652935238984
"MW","S2_well_depth",-0.0285714285714286,1
"MW","hd_art_corr",0.0285714285714286,1
"trapping_potency","hd_art_corr",-0.0285714285714286,1
"log10_trapping","hd_art_corr",-0.0285714285714286,1
"n_rotatable","s2_pca_variance",0,1
